time,machine_id_x,hourly_cpu_util,machine_id_y
0,m29,16.87432689211008,m29
1,m29,16.960483730160906,m29
2,m29,16.997134460545826,m29
3,m29,16.276395732690354,m29
4,m29,15.557228663450363,m29
5,m29,15.482001409019444,m29
6,m29,15.588876207728742,m29
7,m29,15.002887882449668,m29
8,m29,14.841015096622584,m29
9,m29,14.630371980677305,m29
10,m29,15.092070249597299,m29
11,m29,15.121882045092107,m29
12,m29,14.319020330113238,m29
13,m29,14.54874315619758,m29
14,m29,14.32399959546844,m29
15,m29,13.897887645106838,m29
16,m29,13.947347014924581,m29
17,m29,14.019442371477728,m29
18,m29,14.27258535265357,m29
19,m29,14.41890761784793,m29
20,m29,14.428533459597748,m29
21,m29,14.366469907404422,m29
22,m29,14.692085648150025,m29
23,m29,15.505052398991484,m29
